,External_ID,contents
0,rec_19_audio_40.wav,সুলীগার শিক্াসললেই এনদেন্ড সাপ ধটেগার্দুটি র্মধ্যে গিরমীয় ব্যাতাহয়রিরে হনিরিববযা থায় নাত জ্যানে দার্সেমানে কো্র জল দেশেইগরমা জলতে ছৈজি আসনিকে সামাটা গধিয় বারাআনেগেনদলতে জলতি হনাককােরন।
1,rec_19_audio_31.wav,ভুয়া মাঝের চৃদির দায় বয়়াসাএদের দা়মামটাম পাড়িটাডিনীশিও রয়েছেকঠাৎ কারামার কেষবিএড গীতি মাতাতাটাইয়েএর নানেটা গীতি মাথে এখানী গীটি পাটাঠায়তাটাইয়ে মাথাথাতা বাহর করে নিয়ে আসে।
2,rec_19_audio_15.wav,গণ্ডৌলাত্ব মা়ের্ঘাত ঢাচামাচার্বপর্থ অকিথকলী পরও যেবানের থাইবে লি বাইচি একেছেতরপ আগলের ভললা দুইনির ফাগরতৈলিয়ে গেছে ইম্ডিয়ায় তিন্ডিওয় গ্যেসে করে জীবনের সপ্নয়এইনজলমতজআয়জীেমে োত যায়তিব তাওয়াগে দেছেন নই।
3,rec_19_audio_3.wav,ঝোহ়ালা তালিত কষেবননা মোলা আভিরে কয়েচল থাঁতোনা আথাকাই় গুরুয তৈদে তলি আইতবে কৃজান ওয়াল়ই সোকলি আইটি লাআবওয়ার ম্রে লা আওয়ায়ি সজ জাপনি ভাইগক যাগ টানতঐযায়ী সিত্রু জাতিয়া ন ইতেট খান।
4,rec_19_audio_14.wav,ধ্ ব্রধাকীত কাল ছের মগেলিনেনেগুলোবদিয়ে ছল নাবইগিয়ে ভইকে পালো নাম কিভইঞনি বইজঞানের শাভারস মাক্রাকারা দাধুর্নত এটি অভিরত লড়ালি রানার বার়ী থাকে না।
5,rec_19_audio_2.wav,তারা ছলি এগেছে জমাক দৈ তীন্দনাবার কিষুন বস্তা র আকবাড়িআমি আকার নাকৃদেই বনে বর লে দু ডেখা আয় লাবা নঅবেষাতা যাইতার জাইয়ে দেয়কি ও খাইয়ে গেছে আ কি বিয়ে লাগে নে আনে বাড়ি রত্ন প্রিকাজেলা বালো মাছ তাজ না়গুরু অনুষ্থাদ রান দেছে।
6,rec_19_audio_18.wav,তারবলদ্বারার ঘরাষ্থাসাথ বারভেটাছিল অবাথ্রলাচা্ড ট্যাক ট্যারা ওরসববুদ্ধি রেসিয়েখানাভাক্সককান বইজের ব্যারবিটার দেশেয়ে কোয়ান রাডানা কী আতোনোট বো়াংশের লকএক বাংশল লকা আনে বাড়ি য বারতে দেয়ে ছল ফাল ।
7,rec_19_audio_28.wav,অর্তৃক্দ্বূরু তআরর অধীন লোকদন ছিল ঢাকতারমাথকা রাণের থাঙগেমা আমি গুরুবা ওয়ারুম ভুক থাকে ধা দা টিকটা গোনটকারন সময়মূতওআরে খায়ানো বাগান সবিহত তি রে যে এইদেকে এবং বেহাধের লবজ হনার প্ের ঘাদা বালমত উল্লুত গি আসপ্রাম করাতকতা না।
8,rec_19_audio_10.wav,আর যে বোলাডানাসেতু গ্রানযতরা প্রে থাকে আয়টাননাবারমান হত বাদেদের মত দেলাটি এটি বাজা কৃষ্ণের কাজায়ও পিরা।
9,rec_19_audio_24.wav,সেই ডিয়ের নানা সুনে যে আয়নার ভালো ত ধীর প্রাচমাগের যবরডান সাতে কটা নএকটাপনেঅবেসাতা এই আছে এ আজনা গএ আছে কলা আ্দাবলে  অ প্রথম বহোদো নাকাযর় গেছলরোগ বায়েবাদন।
